[18/Nov/2019 15:14:23] INFO [django.utils.autoreload:597] Watching for file changes with StatReloader
[18/Nov/2019 15:14:42] INFO [django.utils.autoreload:217] /Users/christophesurbier/Documents/Ecrits/adminultimateguide/adminultimateguide/settings.py changed, reloading.
[18/Nov/2019 15:14:42] INFO [django.utils.autoreload:597] Watching for file changes with StatReloader
[18/Nov/2019 15:14:42] DEBUG [django.utils.autoreload:288] Waiting for apps ready_event.
[18/Nov/2019 15:14:42] DEBUG [django.utils.autoreload:299] Apps ready_event triggered. Sending autoreload_started signal.
[18/Nov/2019 15:14:42] DEBUG [django.utils.autoreload:247] Watching dir /Users/christophesurbier/Documents/Ecrits/adminultimateguide/locale with glob **/*.mo.
[18/Nov/2019 15:14:42] DEBUG [django.utils.autoreload:247] Watching dir /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/contrib/admin/locale with glob **/*.mo.
[18/Nov/2019 15:14:42] DEBUG [django.utils.autoreload:247] Watching dir /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/contrib/auth/locale with glob **/*.mo.
[18/Nov/2019 15:14:42] DEBUG [django.utils.autoreload:247] Watching dir /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
[18/Nov/2019 15:14:42] DEBUG [django.utils.autoreload:247] Watching dir /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/contrib/sessions/locale with glob **/*.mo.
[18/Nov/2019 15:14:42] DEBUG [django.utils.autoreload:247] Watching dir /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/contrib/messages/locale with glob **/*.mo.
[18/Nov/2019 15:14:42] DEBUG [django.utils.autoreload:247] Watching dir /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
[18/Nov/2019 15:14:42] DEBUG [django.utils.autoreload:247] Watching dir /Users/christophesurbier/Documents/Ecrits/adminultimateguide/backoffice/locale with glob **/*.mo.
[18/Nov/2019 15:14:43] DEBUG [django.db.backends:110] (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
[18/Nov/2019 15:14:43] DEBUG [django.db.backends:110] (0.000) SELECT "django_migrations"."app", "django_migrations"."name" FROM "django_migrations"; args=()
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/core/checks/registry.py first seen with mtime 1573893778.1717498
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/lib/python3.7/distutils/dist.py first seen with mtime 1571094535.0
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/utils/formats.py first seen with mtime 1573893778.2594845
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/db/backends/base/base.py first seen with mtime 1573893778.1908658
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/db/backends/base/validation.py first seen with mtime 1573893778.1928337
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/db/backends/base/schema.py first seen with mtime 1573893778.1926017
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1573893778.3519342
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/lib/python3.7/mimetypes.py first seen with mtime 1573893323.7777784
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/lib/python3.7/weakref.py first seen with mtime 1571094535.0
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ipaddress.py first seen with mtime 1571094535.0
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/core/checks/templates.py first seen with mtime 1573893778.1719744
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/db/models/__init__.py first seen with mtime 1573893778.2106717
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/middleware/cache.py first seen with mtime 1573893778.2405193
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/contrib/auth/admin.py first seen with mtime 1573893777.655532
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/lib/python3.7/bz2.py first seen with mtime 1571094535.0
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/db/backends/signals.py first seen with mtime 1573893778.1901155
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/lib/python3.7/lib-dynload/math.cpython-37m-darwin.so first seen with mtime 1571094535.0
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/sqlparse/keywords.py first seen with mtime 1573893778.3484337
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/lib/python3.7/lib-dynload/_sqlite3.cpython-37m-darwin.so first seen with mtime 1573893323.7634475
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/utils/datastructures.py first seen with mtime 1573893778.2567515
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/lib/python3.7/lib-dynload/_uuid.cpython-37m-darwin.so first seen with mtime 1571094535.0
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/pytz/tzfile.py first seen with mtime 1573893778.5078719
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/lib/python3.7/platform.py first seen with mtime 1571094535.0
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/contrib/auth/apps.py first seen with mtime 1573893777.65575
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/pytz/exceptions.py first seen with mtime 1573893778.50716
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/db/models/options.py first seen with mtime 1573893778.213742
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/lib/python3.7/encodings/utf_8.py first seen with mtime 1571094535.0
[18/Nov/2019 15:14:43] DEBUG [django.utils.autoreload:351] File /Users/christophesurbier/Documents/Ecrits/djangoadminenv/lib/python3.7/site-packages/django/db/migrations/migration.py first seen with mtime 1573893778.207017
